position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Teodoro Obiang,Q57385,1979-08-03,,male,1942-06-05,,"Teodoro Obiang detail, 1650FRP051.jpg",Teodoro Obiang Nguema Mbasogo
Vice-President,Teodoro Nguema,Q477201,2012-05-21,,male,1968-06-25,,,Teodoro Nguema Obiang Mangue
Vice-President,Ignacio Milam Tang,Q57898,2012-05-21,2016-06-22,male,1940-06-20,,,Ignacio Milam Tang
Prime Minister,Ángel Serafín Seriche Dougan,Q251902,1996-04-11,2001-03-04,male,1946,,,Ángel Serafín Seriche Dougan
Prime Minister,Cándido Muatetema Rivas,Q1149802,2001-03-04,2004-06-14,male,1960-02-20,2014-06-16,,Cándido Muatetema Rivas
Prime Minister,Miguel Abia Biteo Boricó,Q1353126,2004-06-14,2006-08-14,male,1961-01-11,2012-12-06,,Miguel Abia Biteo Boricó
Prime Minister,Ricardo Mangue Obama Nfubea,Q602837,2006-08-14,2008-07-08,male,1961,,Ricardo Mangue Obama Nfubea.jpg,Ricardo Mangue Obama Nfubea
Prime Minister,Ignacio Milam Tang,Q57898,2008-07-08,2012-05-21,male,1940-06-20,,,Ignacio Milam Tang
Prime Minister,Vicente Ehate Tomi,Q2201806,2012-05-21,2016-06-22,male,1968,,,Vicente Ehate Tomi
Prime Minister,Francisco Pascual Obama Asue,Q24761111,2016-06-22,,male,1949-04-21,,,Francisco Pascual Obama Asue
Vice-Prime Minister,Miguel Oyono Ndong Mifumu,Q108426370,1999-07-22,2001-02-26,male,,,,
Vice-Prime Minister,Demetrio Elo Ndong Nsefumu,Q112128517,1999-07-22,2001-02-26,male,,,,
Vice-Prime Minister,Ignacio Milam Tang,Q57898,2001-02-26,2001-03-09,male,1940-06-20,,,Ignacio Milam Tang
Vice-Prime Minister,Ignacio Milam Tang,Q57898,2001-03-09,2003-02-11,male,1940-06-20,,,Ignacio Milam Tang
Vice-Prime Minister,Demetrio Elo Ndong Nsefumu,Q112128517,2003-02-11,2004-06-15,male,,,,
Vice-Prime Minister,Jeremias Ondo Ngomo,Q112162989,2003-02-11,2004-06-15,,,,,
Vice-Prime Minister,Marcelino Oyono Ntutumu,Q112128490,2004-06-15,2006-08-22,male,,,,
Vice-Prime Minister,Ricardo Mangue Obama Nfubea,Q602837,2004-06-15,2006-08-22,male,1961,,Ricardo Mangue Obama Nfubea.jpg,Ricardo Mangue Obama Nfubea
Vice-Prime Minister,Demetrio Elo Ndong Nsefumu,Q112128517,2006-08-22,2011-02-19,male,,,,
Vice-Prime Minister,Aniceto Ebiaka Moete,Q112128556,2006-08-22,2008-07-15,male,,,,
