item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112133226,AGUSTIN NDONG ONA MBUY,,,,,2018-01-12,,male,Q112133226-ED94C361-B0E5-4912-A621-74CDD27B358F
Q36908601,AGUSTIN NZE NFUMU,,,,,2018-01-12,,male,Q36908601-AC04F34B-58CF-400C-B891-85E803DA066E
Q112133566,ALBERTO NGUEMA NCHUCHUMA,,,,,2018-01-12,,male,Q112133566-43DD7A00-73DD-4283-95F7-7ED18C4BB162
Q112128516,ALEJANDRO ENVORO OVONO,,,,,2018-01-12,,male,Q112128516-AC7CCE0F-5037-4B86-AA2F-1B9D68344753
Q112128551,ALFONSO NSUE MOKUY,,,,,2018-01-12,,male,Q112128551-33D45309-5A67-4967-8197-4D6525E1B0F5
Q112133227,ANASTASIO ASUMU MUM MUÑOZ,,,,,2018-01-12,,male,Q112133227-9F60938E-1616-4E2C-8C8E-FBE9D6DFC287
Q112133229,ANATOLIO NDONG MBA,,,,,2018-01-12,,male,Q112133229-D2ABB662-5433-4551-B555-13D03E4689D9
Q112133567,ANDRES J. MBOMIO NSEM ABOA,,,,,2018-01-12,,male,Q112133567-1CA0210D-CE6D-4C2D-B56F-E621C5454CCD
Q112128540,ANGEL MESIE MIBUY,,,,,2018-01-12,,male,Q112128540-65B0152D-5731-4203-9281-A479D16D8A0D
Q251902,ANGEL SERAFIN SERICHE DOUGAN MALABO,,,,,2018-01-12,,male,Q251902-EEA4B62C-1868-4CB5-AC01-A39D7DF6D2F8
Q112133558,ANGELINA ADA ONDO,,,,,2018-01-12,,female,Q112133558-E37C865C-5EBB-43E1-B361-947F1BDF1F02
Q112133235,ANTONIO JAVIER NGUEMA,,,,,2018-01-12,,male,Q112133235-325ACE7D-045A-4704-83DE-113A28F40D4D
Q112133236,ANTONIO PASCUAL OKO EBOBO,,,,,2018-01-12,,male,Q112133236-0C3FB6FC-01A0-4FE7-A8B5-FEEC4613FE60
Q112128507,ATANASIO ELA NTUGU NSA,,,,,2018-01-12,,male,Q112128507-0DB02CFB-EA6A-4C00-9D48-6C63712C5582
Q112128520,BATHO OBAM NSUE MENGUE,,,,,2018-01-12,,male,Q112128520-EAD81435-76C1-4C3D-B4B2-EF1C354EE435
Q112133579,BENEDICTO NSUE OBIANG MANGUE,,,,,2018-01-12,,male,Q112133579-47FA1FC3-631F-4213-B3DF-BD3885ECB8C1
Q112128504,BUENAVENTURA MONSUY ESONO,,,,,2018-01-12,,male,Q112128504-7634F83E-11C3-4E9F-898D-AA02750B9AE6
Q112133239,BUENAVENTURA MOSWI M'ASUMU,,,,,2018-01-12,,male,Q112133239-73615C50-E5F6-49CC-A1A0-DBE2976049A7
Q112128527,CARLOS EYI OBAMA,,,,,2018-01-12,,male,Q112128527-DD4CAD30-65F8-480D-BE9B-965B0232D292
Q112133584,CARMELO MBA BAKALE,,,,,2018-01-12,,male,Q112133584-9566E34F-5CFC-44F7-9AAE-8DC7C12AC5B5
Q112133565,CESAR A. INESTROSA GOMES,,,,,2018-01-12,,male,Q112133565-EC3D6CF7-AFE4-4F45-94E4-A1B249B339A0
Q112133585,CRISPIN JAIME SANGALE RONDO,,,,,2018-01-12,,male,Q112133585-E6E3B352-C613-4C25-B4DE-771D4E6051C8
Q112128517,DEMETRIO ELO NDONG NSEFUMU,,,,,2018-01-12,,male,Q112128517-81931A40-44E7-46EC-B22B-BF772F429076
Q112128501,DOMINGO ANTONIO NVE MBA,,,,,2018-01-12,,male,Q112128501-B0BC1139-EBAA-4138-A6B4-86462DFB7926
Q112133572,DOMINGO MBA ESONO,,,,,2018-01-12,,male,Q112133572-EE2EBE6E-5099-47F7-BB45-BBFEEE95039E
Q112133241,DOMINGO MITUY EDJANG,,,,,2018-01-12,,male,Q112133241-1B95C5E1-9D79-4172-AB82-D5FE8668BD8D
Q112133243,ELIAS OVONO NGUEMA NFONO,,,,,2018-01-12,,male,Q112133243-5CE36832-4FFB-42F0-87DD-6C41C69C8B0E
Q112133559,EMILIA NCHAMA NDONG,,,,,2018-01-12,,female,Q112133559-4FB6CDC1-3949-4E2B-921F-943879EE22D8
Q112133587,ENRIQUE MERCADER COSTA,,,,,2018-01-12,,male,Q112133587-428F5791-1FD4-489A-9DA2-4CA7AF8CA53F
Q112133571,ENRIQUE OVONO ONDO,,,,,2018-01-12,,male,Q112133571-250C8272-0B3D-4FF6-8C9F-85726903A2B6
Q112133244,EUCARIO BACALE ANGÜE,,,,,2018-01-12,,male,Q112133244-DD232BE1-D7C8-49BE-9BFE-A6F6530ABCB1
Q112133245,EULALIA ENVO BELA,,,,,2018-01-12,,female,Q112133245-EC0292CE-4CAD-4DB8-AB98-1F6D23D7F2CF
Q112133561,EXUPERANCIO NDONG NSI,,,,,2018-01-12,,male,Q112133561-A4C84839-CA73-4E40-B968-A746A9F5E9C1
